Rank,Player,Team,Position,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,Research %ROST,Research +/-,Fantasy TOT,Fantasy AVG,Position List,Projected Fantasy Points,VORP,Adjusted VORP,Tier
1,Nikola Jokic,Den,C,35.1,10.4,17.7,4.7,5.8,1.0,12.7,9.2,1.4,0.8,3.3,26.7,99.9,0.0,4862.0,63.1,['C'],63.0,42.3,3.4005659797087358,5
2,Victor Wembanyama,SA,C,33.4,9.2,18.8,4.8,5.8,2.1,12.0,4.4,1.8,4.3,4.1,25.4,99.9,0.0,4418.0,63.1,['C'],63.1,42.400000000000006,3.408605142781334,5
3,Luka Doncic,Dal,PG,37.0,11.2,23.1,6.9,8.9,3.7,9.1,9.3,1.4,0.5,4.0,33.1,99.9,0.0,4423.0,61.4,['PG'],61.4,42.3,3.4074358663640942,5
4,Shai Gilgeous-Alexander,OKC,PG,34.8,11.2,21.1,8.1,9.3,1.4,5.6,6.8,2.0,0.9,2.3,32.0,99.9,0.0,4421.0,59.7,['PG'],59.699999999999996,40.599999999999994,3.2704939993943785,5
5,Giannis Antetokounmpo,Mil,"PF, C",35.4,11.6,19.5,7.5,11.4,0.6,11.9,6.5,1.1,1.1,3.6,31.3,99.9,0.0,4076.0,58.2,"['PF', 'C']",58.199999999999996,37.5,3.278675579169775,5
6,Domantas Sabonis,Sac,"C, PF",36.1,7.7,13.0,3.7,5.2,0.4,13.6,8.0,0.9,0.6,3.3,19.6,99.9,0.0,4004.0,50.1,"['C', 'PF']",49.9,29.2,2.549104337692319,5
7,Tyrese Haliburton,Ind,"PG, SG",34.8,7.7,16.1,3.0,3.5,3.0,4.2,11.5,1.4,0.7,2.5,21.4,99.9,0.0,3770.0,53.9,"['PG', 'SG']",53.8,34.699999999999996,2.8025360369062304,5
8,Anthony Davis,LAL,"C, PF",35.9,9.6,17.2,5.7,7.0,0.4,12.7,3.4,1.2,2.3,2.1,25.2,99.9,0.0,3548.0,55.4,"['C', 'PF']",55.599999999999994,34.89999999999999,3.0501351902732226,5
9,Ja Morant,Mem,PG,36.2,10.8,22.5,6.5,8.6,1.7,6.4,8.4,1.2,0.4,3.8,29.7,99.7,0.1,3523.0,50.3,['PG'],50.400000000000006,31.300000000000004,2.521341433030642,5
10,Jayson Tatum,Bos,"PF, SF",36.0,9.2,19.7,5.9,7.0,3.1,8.2,4.8,1.0,0.6,2.6,27.5,99.9,0.0,3590.0,47.2,"['PF', 'SF']",47.2,26.300000000000004,2.311773933838207,5
11,Anthony Edwards,Min,"SG, SF",36.8,10.0,21.7,5.8,7.1,2.8,5.7,5.1,1.4,0.6,3.2,28.6,99.9,0.0,3576.0,45.8,"['SG', 'SF']",45.9,23.699999999999996,2.1401281288995335,5
12,Trae Young,Atl,PG,36.2,8.4,19.3,7.0,8.0,3.0,3.0,10.7,1.3,0.2,4.3,26.7,99.7,0.0,3355.0,47.9,['PG'],48.0,28.9,2.328011738485161,5
13,LeBron James,LAL,"SF, PF",35.2,9.8,18.4,4.3,5.7,2.1,7.4,8.0,1.2,0.6,3.4,26.0,99.9,0.0,3362.0,51.7,"['SF', 'PF']",51.7,30.800000000000004,2.707324606928394,5
14,Jalen Brunson,NY,PG,35.8,10.2,21.2,5.4,6.4,2.7,3.7,6.7,0.9,0.2,2.4,28.4,99.8,0.0,3492.0,45.9,['PG'],46.0,26.9,2.166903659697261,5
