0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,"Nikola Jokic
Den
C",,,35.1,10.4,17.7,4.7,5.8,1.0,12.7,9.2,1.4,0.8,3.3,26.7,99.9,0,4862,63.1
2,"Victor Wembanyama
DTD
SA
C",,,33.4,9.2,18.8,4.8,5.8,2.1,12.0,4.4,1.8,4.3,4.1,25.4,99.9,0,4418,63.1
3,"Luka Doncic
DTD
Dal
PG",,,37.0,11.2,23.1,6.9,8.9,3.7,9.1,9.3,1.4,0.5,4.0,33.1,99.9,0,4423,61.4
4,"Shai Gilgeous-Alexander
OKC
PG",,,34.8,11.2,21.1,8.1,9.3,1.4,5.6,6.8,2.0,0.9,2.3,32.0,99.9,0,4421,59.7
5,"Giannis Antetokounmpo
DTD
Mil
PF, C",,,35.4,11.6,19.5,7.5,11.4,0.6,11.9,6.5,1.1,1.1,3.6,31.3,99.9,0,4076,58.2
6,"Domantas Sabonis
Sac
C, PF",,,36.1,7.7,13.0,3.7,5.2,0.4,13.6,8.0,0.9,0.6,3.3,19.6,99.9,0,4004,50.1
7,"Tyrese Haliburton
Ind
PG, SG",,,34.8,7.7,16.1,3.0,3.5,3.0,4.2,11.5,1.4,0.7,2.5,21.4,99.9,0,3770,53.9
8,"Anthony Davis
DTD
LAL
C, PF",,,35.9,9.6,17.2,5.7,7.0,0.4,12.7,3.4,1.2,2.3,2.1,25.2,99.9,0,3548,55.4
9,"Ja Morant
Mem
PG",,,36.2,10.8,22.5,6.5,8.6,1.7,6.4,8.4,1.2,0.4,3.8,29.7,99.7,+0.1,3523,50.3
10,"Jayson Tatum
Bos
PF, SF",,,36.0,9.2,19.7,5.9,7.0,3.1,8.2,4.8,1.0,0.6,2.6,27.5,99.9,0,3590,47.2
11,"Anthony Edwards
DTD
Min
SG, SF",,,36.8,10.0,21.7,5.8,7.1,2.8,5.7,5.1,1.4,0.6,3.2,28.6,99.9,0,3576,45.8
12,"Trae Young
DTD
Atl
PG",,,36.2,8.4,19.3,7.0,8.0,3.0,3.0,10.7,1.3,0.2,4.3,26.7,99.7,0,3355,47.9
13,"LeBron James
DTD
LAL
SF, PF",,,35.2,9.8,18.4,4.3,5.7,2.1,7.4,8.0,1.2,0.6,3.4,26.0,99.9,0,3362,51.7
14,"Jalen Brunson
NY
PG",,,35.8,10.2,21.2,5.4,6.4,2.7,3.7,6.7,0.9,0.2,2.4,28.4,99.8,0,3492,45.9
15,"Donovan Mitchell
Cle
SG, PG",,,36.1,9.6,20.5,4.9,5.7,3.5,4.9,5.7,1.7,0.5,2.9,27.5,99.8,+0.1,3373,48.2
16,"Joel Embiid
DTD
Phi
C",,,34.4,11.3,21.3,10.2,11.8,1.3,11.0,5.1,1.1,1.7,3.7,34.1,99.8,0,3604,60.1
17,"De'Aaron Fox
DTD
Sac
PG",,,36.2,9.8,20.7,4.4,5.9,2.6,4.6,5.8,1.9,0.4,2.7,26.6,99.6,0,3352,46.6
18,"Devin Booker
Phx
PG, SG",,,36.6,10.0,20.3,6.3,7.1,2.4,4.6,6.5,0.9,0.4,2.7,28.6,99.9,0,3306,47.2
19,"Pascal Siakam
Ind
PF",,,34.3,8.7,16.5,3.9,5.3,1.1,7.3,4.6,0.8,0.4,1.9,22.4,99.1,+0.3,3155,40.4
20,"Kevin Durant
Phx
PF",,,36.5,9.8,18.8,4.8,5.6,2.2,6.5,5.0,0.9,1.2,3.2,26.7,99.9,0,3132,47.5
21,"Zion Williamson
DTD
NO
PF",,,33.7,10.3,17.8,5.8,8.2,0.3,6.3,5.3,1.2,0.7,3.0,26.6,98.9,+0.4,2923,45.7
22,"Scottie Barnes
Tor
SF, SG, PF",,,36.3,7.5,15.8,3.2,4.1,1.6,8.3,6.0,1.3,1.4,2.7,19.7,99.7,+0.1,3164,45.2
23,"Karl-Anthony Towns
NY
C, PF",,,34.9,8.3,16.4,4.5,5.2,2.3,10.7,3.5,0.8,1.2,3.1,23.4,99.6,+0.2,3129,44.7
24,"LaMelo Ball
Cha
PG",,,34.3,8.0,18.8,3.4,3.9,3.3,6.5,8.2,1.7,0.3,3.6,22.7,98.9,+0.7,3065,46.4
25,"Tyrese Maxey
Phi
PG, SG",,,36.6,8.8,19.4,4.4,5.1,2.9,3.6,5.9,1.0,0.4,1.6,24.9,99.6,+0.1,3101,43.1
26,"Alperen Sengun
Hou
C",,,33.7,8.0,15.0,3.8,5.5,0.5,9.8,4.9,1.2,0.9,2.8,20.4,98.8,+0.4,3076,42.7
27,"Paolo Banchero
Orl
PF, SF",,,35.9,8.5,18.7,5.8,7.9,1.7,7.1,5.3,0.9,0.8,3.1,24.6,99.7,+0.1,3105,40.9
28,"James Harden
DTD
LAC
PG, SG",,,34.7,5.2,12.0,4.5,5.1,2.6,5.3,8.9,1.1,0.7,2.7,17.4,99.0,+0.4,3065,42.6
29,"Nikola Vucevic
Chi
C",,,34.1,7.6,15.5,1.4,1.7,1.3,10.7,3.3,0.7,0.8,1.6,17.9,97.0,+0.7,3013,38.6
